model,horizon_day,accuracy,precision,recall,f1_score,cohens_kappa,auc_roc,false_alarm_rate,missed_event_rate,tn,fp,fn,tp
CNN,1,0.850415512465374,0.46835443037974683,0.7551020408163265,0.578125,0.4932147870846981,0.8452380952380953,0.13461538461495315,0.24489795917867557,270,42,12,37
CNN,2,0.850415512465374,0.4675324675324675,0.7346938775510204,0.5714285714285714,0.48618871903004746,0.8420329670329672,0.13141025640983522,0.2653061224435652,271,41,13,36
CNN,3,0.850415512465374,0.4675324675324675,0.7346938775510204,0.5714285714285714,0.48618871903004746,0.8432103610675038,0.13141025640983522,0.2653061224435652,271,41,13,36
CNN,4,0.8476454293628809,0.4625,0.7551020408163265,0.5736434108527132,0.4873350719099382,0.8467425431711145,0.1378205128200711,0.24489795917867557,269,43,12,37
CNN,5,0.8393351800554016,0.4444444444444444,0.7346938775510204,0.5538461538461539,0.463018054985638,0.8457613814756673,0.14423076923030695,0.2653061224435652,267,45,13,36
CNN,6,0.8448753462603878,0.4567901234567901,0.7551020408163265,0.5692307692307692,0.48153467377923675,0.8453035060177918,0.14102564102518902,0.24489795917867557,268,44,12,37
CNN,7,0.8448753462603878,0.4567901234567901,0.7551020408163265,0.5692307692307692,0.48153467377923675,0.8475928833071692,0.14102564102518902,0.24489795917867557,268,44,12,37
CNN,8,0.8421052631578947,0.45,0.7346938775510204,0.5581395348837209,0.4686927108884814,0.8448456305599163,0.14102564102518902,0.2653061224435652,268,44,13,36
CNN,9,0.8393351800554016,0.4444444444444444,0.7346938775510204,0.5538461538461539,0.463018054985638,0.8423600209314496,0.14423076923030695,0.2653061224435652,267,45,13,36
CNN,10,0.8448753462603878,0.45569620253164556,0.7346938775510204,0.5625,0.4744449643841314,0.8436028257456828,0.1378205128200711,0.2653061224435652,269,43,13,36
CNN,11,0.853185595567867,0.46835443037974683,0.7708333333333334,0.5826771653543307,0.4999607976374043,0.8548988285410012,0.1341853035139483,0.22916666666189237,271,42,11,37
CNN,12,0.8725761772853186,0.5068493150684932,0.7872340425531915,0.6166666666666667,0.5445169784409457,0.8678682748339883,0.1146496815282973,0.21276595744228158,278,36,10,37
CNN,13,0.8725761772853186,0.5068493150684932,0.7872340425531915,0.6166666666666667,0.5445169784409457,0.8648868410353706,0.1146496815282973,0.21276595744228158,278,36,10,37
CNN,14,0.8670360110803325,0.49333333333333335,0.7872340425531915,0.6065573770491803,0.5315743944636677,0.865767719203144,0.12101910827986936,0.21276595744228158,276,38,10,37
