model,horizon_day,accuracy,precision,recall,f1_score,cohens_kappa,auc_roc,false_alarm_rate,missed_event_rate,tn,fp,fn,tp
LSTM,1,0.8725761772853186,0.5211267605633803,0.7551020408163265,0.6166666666666667,0.5433144491502118,0.8406593406593407,0.1089743589740097,0.24489795917867557,278,34,12,37
LSTM,2,0.8698060941828255,0.5138888888888888,0.7551020408163265,0.6115702479338843,0.5367372013651877,0.8403322867608582,0.11217948717912764,0.24489795917867557,277,35,12,37
LSTM,3,0.8642659279778393,0.5,0.7551020408163265,0.6016260162601627,0.523862076390945,0.8395473574045001,0.1185897435893635,0.24489795917867557,275,37,12,37
LSTM,4,0.8642659279778393,0.5,0.7551020408163265,0.6016260162601627,0.523862076390945,0.8388278388278388,0.1185897435893635,0.24489795917867557,275,37,12,37
LSTM,5,0.8614958448753463,0.49333333333333335,0.7551020408163265,0.5967741935483871,0.5175602715561021,0.8371925693354264,0.12179487179448142,0.24489795917867557,274,38,12,37
LSTM,6,0.853185595567867,0.47297297297297297,0.7142857142857143,0.5691056910569106,0.48499367446367525,0.8352302459445317,0.12499999999959936,0.2857142857084548,273,39,14,35
LSTM,7,0.8476454293628809,0.4594594594594595,0.6938775510204082,0.5528455284552846,0.46555947350004034,0.8334641548927263,0.1282051282047173,0.30612244897334445,272,40,15,34
LSTM,8,0.853185595567867,0.4722222222222222,0.6938775510204082,0.5619834710743802,0.4775972696245734,0.831305599162742,0.12179487179448142,0.30612244897334445,274,38,15,34
LSTM,9,0.853185595567867,0.4722222222222222,0.6938775510204082,0.5619834710743802,0.4775972696245734,0.829604918890633,0.12179487179448142,0.30612244897334445,274,38,15,34
LSTM,10,0.8476454293628809,0.4605263157894737,0.7142857142857143,0.56,0.47302067574382256,0.8277080062794347,0.13141025640983522,0.2857142857084548,271,41,14,35
LSTM,11,0.8476454293628809,0.45454545454545453,0.7291666666666666,0.56,0.4738027721092942,0.8369275825346113,0.1341853035139483,0.270833333327691,271,42,13,35
LSTM,12,0.8587257617728532,0.47297297297297297,0.7446808510638298,0.5785123966942148,0.4986793737236215,0.8478791164114379,0.12420382165565541,0.2553191489307379,275,39,12,35
LSTM,13,0.8559556786703602,0.4657534246575342,0.723404255319149,0.5666666666666667,0.48510614954193865,0.8484211952839139,0.12420382165565541,0.27659574467496606,275,39,13,34
LSTM,14,0.8587257617728532,0.4722222222222222,0.723404255319149,0.5714285714285714,0.49128236301843,0.8489632741563898,0.12101910827986936,0.27659574467496606,276,38,13,34
