record_id,date,year,month,day,day_of_year,week_of_year,season,month_sin,month_cos,rainfall_mm,rainfall_intensity,rain_lag1,rain_lag2,rain_lag3,rain_cumul_3day,rain_cumul_5day,rain_cumul_7day,rain_rolling_avg_7d,rain_rolling_avg_30d,rain_exceed_50mm,rain_exceed_100mm,consecutive_rain_days,typhoon_active,typhoon_signal,typhoon_name,typhoon_category,typhoon_max_wind_kph,days_to_typhoon,days_since_typhoon,antecedent_moisture,land_use_code,flood_occurred,flood_depth_m,flood_duration_hrs,flood_severity,soil_moisture_mean,pressure_msl_mean,surface_pressure_mean,wind_gusts_10m_max
1,2020-01-01,2020,1,1,1,1,0,0.5,0.866025,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0,0.30748611111111107,1015.3541666666666,1014.7541666666666,40.7
2,2020-01-02,2020,1,2,2,1,0,0.5,0.866025,19.5,3,0.0,0.0,0.0,19.5,19.5,19.5,2.79,9.75,0,0,1,0,0,,0.0,,,,0.08,1,0,,,0,0.30240277777777774,1015.725,1015.125,53.6
3,2020-01-03,2020,1,3,3,1,0,0.5,0.866025,0.0,0,19.5,0.0,0.0,19.5,19.5,19.5,2.79,6.5,0,0,0,0,0,,0.0,,,,0.08,1,0,,,0,0.3056666666666667,1014.6791666666667,1014.0791666666668,53.3
4,2020-01-04,2020,1,4,4,1,0,0.5,0.866025,0.0,0,0.0,19.5,0.0,19.5,19.5,19.5,2.79,4.88,0,0,0,0,0,,0.0,,,,0.08,1,0,,,0,0.30540277777777775,1013.1416666666668,1012.5416666666666,47.2
5,2020-01-05,2020,1,5,5,1,0,0.5,0.866025,0.0,0,0.0,0.0,19.5,0.0,19.5,19.5,2.79,3.9,0,0,0,0,0,,0.0,,,,0.08,1,0,,,0,0.3065277777777778,1013.6,1013.0,56.2
6,2020-01-06,2020,1,6,6,2,0,0.5,0.866025,9.9,3,0.0,0.0,0.0,9.9,29.4,29.4,4.2,4.9,0,0,1,0,0,,0.0,,,,0.1,1,0,,,0,0.3120972222222222,1013.5124999999999,1012.9125,52.9
7,2020-01-07,2020,1,7,7,2,0,0.5,0.866025,21.7,3,9.9,0.0,0.0,31.6,31.6,51.1,7.3,7.3,0,0,2,0,0,,0.0,,,,0.19,1,0,,,0,0.3498611111111111,1012.9125,1012.3125,37.8
8,2020-01-08,2020,1,8,8,2,0,0.5,0.866025,0.0,0,21.7,9.9,0.0,31.6,31.6,51.1,7.3,6.39,0,0,0,0,0,,0.0,,,,0.14,1,0,,,0,0.37952777777777774,1012.3583333333332,1011.7583333333333,29.2
9,2020-01-09,2020,1,9,9,2,0,0.5,0.866025,34.8,3,0.0,21.7,9.9,56.5,66.4,66.4,9.49,9.54,0,0,1,0,0,,0.0,,,,0.16,1,0,,,0,0.36720833333333336,1011.9958333333334,1011.3958333333334,34.2
10,2020-01-10,2020,1,10,10,2,0,0.5,0.866025,0.0,0,34.8,0.0,21.7,34.8,66.4,66.4,9.49,8.59,0,0,0,0,0,,0.0,,,,0.16,1,1,0.5,9.0,1,0.3565416666666667,1010.3874999999999,1009.7875,36.0
11,2020-01-11,2020,1,11,11,2,0,0.5,0.866025,0.0,0,0.0,34.8,0.0,34.8,56.5,66.4,9.49,7.81,0,0,0,0,0,,0.0,,,,0.16,1,0,,,0,0.3464027777777778,1009.7624999999999,1009.1625,29.2
12,2020-01-12,2020,1,12,12,2,0,0.5,0.866025,0.0,0,0.0,0.0,34.8,0.0,34.8,66.4,9.49,7.16,0,0,0,0,0,,0.0,,,,0.16,1,0,,,0,0.3388055555555556,1009.3000000000001,1008.6999999999999,26.6
13,2020-01-13,2020,1,13,13,3,0,0.5,0.866025,8.5,3,0.0,0.0,0.0,8.5,43.3,65.0,9.29,7.26,0,0,1,0,0,,0.0,,,,0.16,1,0,,,0,0.3367777777777778,1009.5500000000001,1008.9499999999999,32.8
14,2020-01-14,2020,1,14,14,3,0,0.5,0.866025,0.0,0,8.5,0.0,0.0,8.5,8.5,43.3,6.19,6.74,0,0,0,0,0,,0.0,,,,0.12,1,0,,,0,0.3337638888888889,1011.15,1010.5500000000001,47.9
15,2020-01-15,2020,1,15,15,3,0,0.5,0.866025,0.0,0,0.0,8.5,0.0,8.5,8.5,43.3,6.19,6.29,0,0,0,0,0,,0.0,,,,0.12,1,0,,,0,0.32919444444444446,1012.5749999999999,1011.975,51.5
16,2020-01-16,2020,1,16,16,3,0,0.5,0.866025,0.0,0,0.0,0.0,8.5,0.0,8.5,8.5,1.21,5.9,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0,0.3356111111111111,1011.9333333333334,1011.3333333333334,34.6
17,2020-01-17,2020,1,17,17,3,0,0.5,0.866025,0.0,0,0.0,0.0,0.0,0.0,8.5,8.5,1.21,5.55,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0,0.34213888888888894,1012.2541666666666,1011.6541666666667,30.6
18,2020-01-18,2020,1,18,18,3,0,0.5,0.866025,0.0,0,0.0,0.0,0.0,0.0,0.0,8.5,1.21,5.24,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0,0.33631944444444445,1012.4375,1011.8375,40.0
