record_id,date,year,month,day,day_of_year,week_of_year,season,month_sin,month_cos,rainfall_mm,rainfall_intensity,rain_lag1,rain_lag2,rain_lag3,rain_cumul_3day,rain_cumul_5day,rain_cumul_7day,rain_rolling_avg_7d,rain_rolling_avg_30d,rain_exceed_50mm,rain_exceed_100mm,consecutive_rain_days,typhoon_active,typhoon_signal,typhoon_name,typhoon_category,typhoon_max_wind_kph,days_to_typhoon,days_since_typhoon,antecedent_moisture,land_use_code,flood_occurred,flood_depth_m,flood_duration_hrs,flood_severity
1,2020-01-01,2020,1,1,1,1,0,0.5,0.866025,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
2,2020-01-02,2020,1,2,2,1,0,0.5,0.866025,19.5,3,0.0,0.0,0.0,19.5,19.5,19.5,2.79,9.75,0,0,1,0,0,,0.0,,,,0.08,1,0,,,0
3,2020-01-03,2020,1,3,3,1,0,0.5,0.866025,0.0,0,19.5,0.0,0.0,19.5,19.5,19.5,2.79,6.5,0,0,0,0,0,,0.0,,,,0.08,1,0,,,0
4,2020-01-04,2020,1,4,4,1,0,0.5,0.866025,0.0,0,0.0,19.5,0.0,19.5,19.5,19.5,2.79,4.88,0,0,0,0,0,,0.0,,,,0.08,1,0,,,0
5,2020-01-05,2020,1,5,5,1,0,0.5,0.866025,0.0,0,0.0,0.0,19.5,0.0,19.5,19.5,2.79,3.9,0,0,0,0,0,,0.0,,,,0.08,1,0,,,0
6,2020-01-06,2020,1,6,6,2,0,0.5,0.866025,9.9,3,0.0,0.0,0.0,9.9,29.4,29.4,4.2,4.9,0,0,1,0,0,,0.0,,,,0.1,1,0,,,0
7,2020-01-07,2020,1,7,7,2,0,0.5,0.866025,21.7,3,9.9,0.0,0.0,31.6,31.6,51.1,7.3,7.3,0,0,2,0,0,,0.0,,,,0.19,1,0,,,0
8,2020-01-08,2020,1,8,8,2,0,0.5,0.866025,0.0,0,21.7,9.9,0.0,31.6,31.6,51.1,7.3,6.39,0,0,0,0,0,,0.0,,,,0.14,1,0,,,0
9,2020-01-09,2020,1,9,9,2,0,0.5,0.866025,34.8,3,0.0,21.7,9.9,56.5,66.4,66.4,9.49,9.54,0,0,1,0,0,,0.0,,,,0.16,1,0,,,0
10,2020-01-10,2020,1,10,10,2,0,0.5,0.866025,0.0,0,34.8,0.0,21.7,34.8,66.4,66.4,9.49,8.59,0,0,0,0,0,,0.0,,,,0.16,1,1,0.5,9.0,1
11,2020-01-11,2020,1,11,11,2,0,0.5,0.866025,0.0,0,0.0,34.8,0.0,34.8,56.5,66.4,9.49,7.81,0,0,0,0,0,,0.0,,,,0.16,1,0,,,0
12,2020-01-12,2020,1,12,12,2,0,0.5,0.866025,0.0,0,0.0,0.0,34.8,0.0,34.8,66.4,9.49,7.16,0,0,0,0,0,,0.0,,,,0.16,1,0,,,0
13,2020-01-13,2020,1,13,13,3,0,0.5,0.866025,8.5,3,0.0,0.0,0.0,8.5,43.3,65.0,9.29,7.26,0,0,1,0,0,,0.0,,,,0.16,1,0,,,0
14,2020-01-14,2020,1,14,14,3,0,0.5,0.866025,0.0,0,8.5,0.0,0.0,8.5,8.5,43.3,6.19,6.74,0,0,0,0,0,,0.0,,,,0.12,1,0,,,0
15,2020-01-15,2020,1,15,15,3,0,0.5,0.866025,0.0,0,0.0,8.5,0.0,8.5,8.5,43.3,6.19,6.29,0,0,0,0,0,,0.0,,,,0.12,1,0,,,0
16,2020-01-16,2020,1,16,16,3,0,0.5,0.866025,0.0,0,0.0,0.0,8.5,0.0,8.5,8.5,1.21,5.9,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0
17,2020-01-17,2020,1,17,17,3,0,0.5,0.866025,0.0,0,0.0,0.0,0.0,0.0,8.5,8.5,1.21,5.55,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0
18,2020-01-18,2020,1,18,18,3,0,0.5,0.866025,0.0,0,0.0,0.0,0.0,0.0,0.0,8.5,1.21,5.24,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0
19,2020-01-19,2020,1,19,19,3,0,0.5,0.866025,0.0,0,0.0,0.0,0.0,0.0,0.0,8.5,1.21,4.97,0,0,0,0,0,,0.0,,,,0.06,1,0,,,0
20,2020-01-20,2020,1,20,20,4,0,0.5,0.866025,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
21,2020-01-21,2020,1,21,21,4,0,0.5,0.866025,8.5,3,0.0,0.0,0.0,8.5,8.5,8.5,1.21,4.9,0,0,1,0,0,,0.0,,,,0.06,1,0,,,0
22,2020-01-22,2020,1,22,22,4,0,0.5,0.866025,35.7,3,8.5,0.0,0.0,44.2,44.2,44.2,6.31,6.3,0,0,2,0,0,,0.0,,,,0.18,1,0,,,0
23,2020-01-23,2020,1,23,23,4,0,0.5,0.866025,23.5,3,35.7,8.5,0.0,67.7,67.7,67.7,9.67,7.05,0,0,3,0,0,,0.0,,,,0.52,1,0,,,0
24,2020-01-24,2020,1,24,24,4,0,0.5,0.866025,0.0,0,23.5,35.7,8.5,59.2,67.7,67.7,9.67,6.75,0,0,0,0,0,,0.0,,,,0.17,1,0,,,0
25,2020-01-25,2020,1,25,25,4,0,0.5,0.866025,0.0,0,0.0,23.5,35.7,23.5,67.7,67.7,9.67,6.48,0,0,0,0,0,,0.0,,,,0.17,1,0,,,0
26,2020-01-26,2020,1,26,26,4,0,0.5,0.866025,5.0,2,0.0,0.0,23.5,5.0,64.2,72.7,10.39,6.43,0,0,1,0,0,,0.0,,,,0.17,1,0,,,0
27,2020-01-27,2020,1,27,27,5,0,0.5,0.866025,0.0,0,5.0,0.0,0.0,5.0,28.5,72.7,10.39,6.19,0,0,0,0,0,,0.0,,,,0.17,1,0,,,0
28,2020-01-28,2020,1,28,28,5,0,0.5,0.866025,20.1,3,0.0,5.0,0.0,25.1,25.1,84.3,12.04,6.69,0,0,1,0,0,,0.0,,,,0.19,1,0,,,0
29,2020-01-29,2020,1,29,29,5,0,0.5,0.866025,5.0,2,20.1,0.0,5.0,25.1,30.1,53.6,7.66,6.63,0,0,2,0,0,,0.0,,,,0.19,1,0,,,0
30,2020-01-30,2020,1,30,30,5,0,0.5,0.866025,0.0,0,5.0,20.1,0.0,25.1,30.1,30.1,4.3,6.41,0,0,0,0,0,,0.0,,,,0.1,1,0,,,0
31,2020-01-31,2020,1,31,31,5,0,0.5,0.866025,0.0,0,0.0,5.0,20.1,5.0,25.1,30.1,4.3,6.41,0,0,0,0,0,,0.0,,,,0.1,1,0,,,0
32,2020-02-01,2020,2,1,32,5,0,0.866025,0.5,0.0,0,0.0,0.0,5.0,0.0,25.1,30.1,4.3,5.76,0,0,0,0,0,,0.0,,,,0.1,1,0,,,0
33,2020-02-02,2020,2,2,33,5,0,0.866025,0.5,3.3,2,0.0,0.0,0.0,3.3,8.3,28.4,4.06,5.87,0,0,1,0,0,,0.0,,,,0.1,1,0,,,0
34,2020-02-03,2020,2,3,34,6,0,0.866025,0.5,0.0,0,3.3,0.0,0.0,3.3,3.3,28.4,4.06,5.87,0,0,0,0,0,,0.0,,,,0.1,1,0,,,0
35,2020-02-04,2020,2,4,35,6,0,0.866025,0.5,10.4,3,0.0,3.3,0.0,13.7,13.7,18.7,2.67,6.21,0,0,1,0,0,,0.0,,,,0.08,1,0,,,0
36,2020-02-05,2020,2,5,36,6,0,0.866025,0.5,0.0,0,10.4,0.0,3.3,10.4,13.7,13.7,1.96,5.88,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
37,2020-02-06,2020,2,6,37,6,0,0.866025,0.5,0.0,0,0.0,10.4,0.0,10.4,13.7,13.7,1.96,5.16,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
38,2020-02-07,2020,2,7,38,6,0,0.866025,0.5,0.0,0,0.0,0.0,10.4,0.0,10.4,13.7,1.96,5.16,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
39,2020-02-08,2020,2,8,39,6,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,10.4,13.7,1.96,4.0,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
40,2020-02-09,2020,2,9,40,6,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,10.4,1.49,4.0,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
41,2020-02-10,2020,2,10,41,7,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,10.4,1.49,4.0,0,0,0,0,0,,0.0,,,,0.07,1,0,,,0
42,2020-02-11,2020,2,11,42,7,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
43,2020-02-12,2020,2,12,43,7,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
44,2020-02-13,2020,2,13,44,7,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
45,2020-02-14,2020,2,14,45,7,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
46,2020-02-15,2020,2,15,46,7,0,0.866025,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
47,2020-02-16,2020,2,16,47,7,0,0.866025,0.5,2.4,1,0.0,0.0,0.0,2.4,2.4,2.4,0.34,3.8,0,0,1,0,0,,0.0,,,,0.05,1,0,,,0
48,2020-02-17,2020,2,17,48,8,0,0.866025,0.5,0.0,0,2.4,0.0,0.0,2.4,2.4,2.4,0.34,3.8,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
49,2020-02-18,2020,2,18,49,8,0,0.866025,0.5,0.0,0,0.0,2.4,0.0,2.4,2.4,2.4,0.34,3.8,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
50,2020-02-19,2020,2,19,50,8,0,0.866025,0.5,0.0,0,0.0,0.0,2.4,0.0,2.4,2.4,0.34,3.8,0,0,0,0,0,,0.0,,,,0.05,1,0,,,0
